# Equilibrium shape and gravity solved with 4th-order Theory of Figures
#
# Model name: uranus
#
# Scalar quantities:
# N levels = 4096
# xlevels = 256
# Mass M = 8.681327149505273e+25 kg
# Mean radius       s0 = 2.538871e+07 m
# Equatorial radius a0 = 2.555900e+07 m
# Rotation period P = 62063.7 s
# Rotation parameter m = 0.028857
# Rotation parameter q = 0.029534
# Normalized MOI = 0.225849
#
# Calculated gravity zonal harmonics (x 10^6):
# J0  = -1000570.928990
# J2  =  3509.293304
# J4  =   -35.742893
# J6  =     0.631522
# J8  =    -0.016567
#
# Column data description (MKS):
# i     - level surface index (increasing with depth)
# s_i   - mean radius of level surface i
# rho_i - density on level surfaces i
# P_i   - pressure on level surface i
#
# Column data:
#    i     s_i         rho_i       P_i
   278  2.3666e+07  1.6163e+02  2.5309e+09  
   279  2.3659e+07  1.6164e+02  2.5408e+09  
   280  2.3653e+07  1.6166e+02  2.5508e+09  
   281  2.3647e+07  1.6168e+02  2.5608e+09  
   282  2.3641e+07  1.6170e+02  2.5707e+09  
   283  2.3635e+07  1.6171e+02  2.5807e+09  
   284  2.3628e+07  1.6173e+02  2.5907e+09  
   285  2.3622e+07  1.6175e+02  2.6007e+09  
   286  2.3616e+07  1.6177e+02  2.6107e+09  
   287  2.3610e+07  1.6179e+02  2.6207e+09  
   288  2.3604e+07  1.6180e+02  2.6308e+09  
   289  2.3597e+07  1.6182e+02  2.6408e+09  
   290  2.3591e+07  1.6184e+02  2.6508e+09  
   291  2.3585e+07  1.6186e+02  2.6608e+09  
   292  2.3579e+07  1.6188e+02  2.6709e+09  
   293  2.3573e+07  1.6189e+02  2.6809e+09  
   294  2.3566e+07  1.6191e+02  2.6910e+09  
   295  2.3560e+07  1.6193e+02  2.7010e+09  
   296  2.3554e+07  1.6195e+02  2.7111e+09  
   297  2.3548e+07  1.6197e+02  2.7212e+09  
   298  2.3542e+07  1.6198e+02  2.7312e+09  
   299  2.3535e+07  1.6200e+02  2.7413e+09  
   300  2.3529e+07  1.6202e+02  2.7514e+09  
   301  2.3523e+07  1.6204e+02  2.7615e+09  
   302  2.3517e+07  1.6206e+02  2.7716e+09  
   303  2.3511e+07  1.6208e+02  2.7817e+09  
   304  2.3504e+07  1.6210e+02  2.7918e+09  
   305  2.3498e+07  1.6211e+02  2.8019e+09  
   306  2.3492e+07  1.6213e+02  2.8120e+09  
   307  2.3486e+07  1.6215e+02  2.8221e+09  
   308  2.3480e+07  1.6217e+02  2.8323e+09  
   309  2.3473e+07  1.6219e+02  2.8424e+09  
   310  2.3467e+07  1.6221e+02  2.8526e+09  
   311  2.3461e+07  1.6223e+02  2.8627e+09  
   312  2.3455e+07  1.6225e+02  2.8729e+09  
   313  2.3449e+07  1.6226e+02  2.8830e+09  
   314  2.3442e+07  1.6228e+02  2.8932e+09  
   315  2.3436e+07  1.6230e+02  2.9034e+09  
   316  2.3430e+07  1.6232e+02  2.9135e+09  
   317  2.3424e+07  1.6234e+02  2.9237e+09  
   318  2.3418e+07  1.6236e+02  2.9339e+09  
   319  2.3411e+07  1.6238e+02  2.9441e+09  
   320  2.3405e+07  1.6240e+02  2.9543e+09  
   321  2.3399e+07  1.6242e+02  2.9645e+09  
   322  2.3393e+07  1.6244e+02  2.9747e+09  
   323  2.3387e+07  1.6245e+02  2.9849e+09  
   324  2.3380e+07  1.6247e+02  2.9952e+09  
   325  2.3374e+07  1.6249e+02  3.0054e+09  
   326  2.3368e+07  1.6251e+02  3.0156e+09  
   327  2.3362e+07  1.6253e+02  3.0259e+09  
   328  2.3356e+07  1.6255e+02  3.0361e+09  
   329  2.3349e+07  1.6257e+02  3.0464e+09  
   330  2.3343e+07  1.6259e+02  3.0566e+09  
   331  2.3337e+07  1.6261e+02  3.0669e+09  
   332  2.3331e+07  1.6263e+02  3.0772e+09  
   333  2.3325e+07  1.6265e+02  3.0874e+09  
   334  2.3318e+07  1.6267e+02  3.0977e+09  
   335  2.3312e+07  1.6269e+02  3.1080e+09  
   336  2.3306e+07  1.6271e+02  3.1183e+09  
   337  2.3300e+07  1.6273e+02  3.1286e+09  
   338  2.3294e+07  1.6275e+02  3.1389e+09  
   339  2.3287e+07  1.6277e+02  3.1492e+09  
   340  2.3281e+07  1.6279e+02  3.1596e+09  
   341  2.3275e+07  1.6281e+02  3.1699e+09  
   342  2.3269e+07  1.6283e+02  3.1802e+09  
   343  2.3263e+07  1.6285e+02  3.1906e+09  
   344  2.3256e+07  1.6287e+02  3.2009e+09  
   345  2.3250e+07  1.6289e+02  3.2112e+09  
   346  2.3244e+07  1.6291e+02  3.2216e+09  
   347  2.3238e+07  1.6293e+02  3.2320e+09  
   348  2.3232e+07  1.6295e+02  3.2423e+09  
   349  2.3225e+07  1.6297e+02  3.2527e+09  
   350  2.3219e+07  1.6299e+02  3.2631e+09  
   351  2.3213e+07  1.6301e+02  3.2735e+09  
   352  2.3207e+07  1.6303e+02  3.2839e+09  
   353  2.3201e+07  1.6305e+02  3.2943e+09  
   354  2.3194e+07  1.6307e+02  3.3047e+09  
   355  2.3188e+07  1.6309e+02  3.3151e+09  
   356  2.3182e+07  1.6311e+02  3.3255e+09  
   357  2.3176e+07  1.6313e+02  3.3359e+09  
   358  2.3170e+07  1.6316e+02  3.3464e+09  
   359  2.3163e+07  1.6318e+02  3.3568e+09  
   360  2.3157e+07  1.6320e+02  3.3672e+09  
   361  2.3151e+07  1.6322e+02  3.3777e+09  
   362  2.3145e+07  1.6324e+02  3.3881e+09  
   363  2.3139e+07  1.6326e+02  3.3986e+09  
   364  2.3132e+07  1.6328e+02  3.4091e+09  
   365  2.3126e+07  1.6330e+02  3.4195e+09  
